,Text_id,link,གནས་བབ།,སྒྲིག་མཁན།,མཆན།,མཆན་གྲངས།,,
0,D1286,https://openpecha.bdrc.io/pedurma/D1286,ཚར།,གཟུངས་འདུས།,,22,ཚར།,
1,D1464,https://openpecha.bdrc.io/pedurma/D1464,ཚར།,གཟུངས་འདུས།,,13,ཚར།,
2,D1557,https://openpecha.bdrc.io/pedurma/D1557,ཚར།,གཟུངས་འདུས།,,117,ཚར།,
3,D1587,https://openpecha.bdrc.io/pedurma/D1587,ཚར།,གཟུངས་འདུས།,,9,ཚར།,
4,D1592,https://openpecha.bdrc.io/pedurma/D1592,ཚར།,གཟུངས་འདུས།,,29,ཚར།,
5,D1593,https://openpecha.bdrc.io/pedurma/D1593,ཚར།,གཟུངས་འདུས།,,27,ཚར།,
6,D1594,https://openpecha.bdrc.io/pedurma/D1594,ཚར།,གཟུངས་འདུས།,,8,ཚར།,
7,D1752,https://openpecha.bdrc.io/pedurma/D1752,ཚར།,གཟུངས་འདུས།,,51,ཚར།,
8,D1759,https://openpecha.bdrc.io/pedurma/D1759,ཚར།,གཟུངས་འདུས།,,29,ཚར།,
9,D1771,https://openpecha.bdrc.io/pedurma/D1771,ཚར།,གཟུངས་འདུས།,,14,ཚར།,
10,D1778,https://openpecha.bdrc.io/pedurma/D1778,ཚར།,གཟུངས་འདུས།,,61,ཚར།,
11,D1779,https://openpecha.bdrc.io/pedurma/D1779,ཚར།,གཟུངས་འདུས།,,49,ཚར།,
12,D1784a,https://openpecha.bdrc.io/pedurma/D1784a,ཚར།,ཚེ་རིང་།,,617,ཚར།,
13,D1793y,https://openpecha.bdrc.io/pedurma/D1793y,ཚར་མེད།,ཚེ་རིང་།,,3227,,
14,D1816,https://openpecha.bdrc.io/pedurma/D1816,ཚར་མེད།,ཚེ་རིང་།,574 ནས་འོག་ལ་འགྲོ་གི་མི་འདུག་ལབ་སོང་། ,37,,བཟོས་ཚར་
15,D1942,https://openpecha.bdrc.io/pedurma/D1942,ཚར།,ཚེ་རིང་།,,8,ཚར།,
16,D2190,https://openpecha.bdrc.io/pedurma/D2190,ཚར།,ཚེ་རིང་།,,166,ཚར།,
17,D2191,https://openpecha.bdrc.io/pedurma/D2191,ཚར།,ཚེ་རིང་།,,127,ཚར།,
18,D2225,https://openpecha.bdrc.io/pedurma/D2225,ཚར།,གཟུངས་འདུས།,,38,ཚར།,
19,D2248,https://openpecha.bdrc.io/pedurma/D2248,ཚར།,གཟུངས་འདུས།,,13,ཚར།,
20,D2278,https://openpecha.bdrc.io/pedurma/D2278,ཚར།,གཟུངས་འདུས།,,121,ཚར།,
21,D2334,https://openpecha.bdrc.io/pedurma/D2334,ཚར།,གཟུངས་འདུས།,,51,ཚར།,
22,D2374,https://openpecha.bdrc.io/pedurma/D2374,ཚར།,གཟུངས་འདུས།,,7,ཚར།,
23,D2447,https://openpecha.bdrc.io/pedurma/D2447,ཚར།,གཟུངས་འདུས།,,32,ཚར།,
24,D2449,https://openpecha.bdrc.io/pedurma/D2449,ཚར།,གཟུངས་འདུས།,,54,ཚར།,
25,D2480,https://openpecha.bdrc.io/pedurma/D2480,ཚར།,གཟུངས་འདུས།,,3,ཚར།,
26,D2694,https://openpecha.bdrc.io/pedurma/D2694,ཚར།,གཟུངས་འདུས།,,13,ཚར།,
27,D2701,https://openpecha.bdrc.io/pedurma/D2701,ཚར།,གཟུངས་འདུས།,,28,ཚར།,
28,D2702,https://openpecha.bdrc.io/pedurma/D2702,ཚར།,གཟུངས་འདུས།,,85,ཚར།,
29,D2712,https://openpecha.bdrc.io/pedurma/D2712,ཚར།,གཟུངས་འདུས།,,18,ཚར།,
